Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00,-1.996980310691503e+01
 1.040000000000000e+00,-2.012787616076558e+01
 1.050000000000000e+00,-2.004535328002622e+01
 1.060000000000000e+00,-1.972102242625543e+01
 1.070000000000000e+00,-1.917285020910630e+01
 1.080000000000000e+00,-1.847789376265129e+01
 1.090000000000000e+00,-1.773070759549678e+01
 1.100000000000000e+00,-1.706886375943992e+01
 1.110000000000000e+00,-1.671766054244546e+01
 1.120000000000000e+00,-1.693773087439185e+01
 1.130000000000000e+00,-1.791175053944628e+01
 1.140000000000000e+00,-1.958244603563592e+01
 1.150000000000000e+00,-2.172680595175527e+01
 1.160000000000000e+00,-2.406837959583705e+01
 1.170000000000000e+00,-2.609901565907494e+01
 1.180000000000000e+00,-2.753560220297921e+01
 1.190000000000000e+00,-2.819594811515392e+01
 1.200000000000000e+00,-2.816692995013502e+01
 1.210000000000000e+00,-2.757084640145491e+01
 1.220000000000000e+00,-2.654461711187034e+01
 1.230000000000000e+00,-2.534496788856104e+01
 1.240000000000000e+00,-2.348947500231925e+01
 1.250000000000000e+00,-2.220105929704595e+01
 1.260000000000000e+00,-2.096476206233588e+01
 1.270000000000000e+00,-2.006141342024631e+01
 1.280000000000000e+00,-1.948181123225803e+01
 1.290000000000000e+00,-1.902341771611998e+01
 1.300000000000000e+00,-1.925080326318295e+01
 1.310000000000000e+00,-1.915259505304474e+01
 1.320000000000000e+00,-1.933986499464645e+01
 1.330000000000000e+00,-1.959577740147465e+01
 1.340000000000000e+00,-1.988836480024479e+01
 1.350000000000000e+00,-2.018245660786348e+01
 1.360000000000000e+00,-2.028630464780958e+01
 1.370000000000000e+00,-2.087077292565401e+01
 1.380000000000000e+00,-2.087007362860900e+01
 1.390000000000000e+00,-2.106454577494770e+01
 1.400000000000000e+00,-2.122263768205855e+01
 1.410000000000000e+00,-2.140869213581212e+01
 1.420000000000000e+00,-2.146277332329101e+01
 1.430000000000000e+00,-2.145203163956939e+01
 1.440000000000000e+00,-2.150892427339925e+01
 1.450000000000000e+00,-2.178479844339850e+01
 1.460000000000000e+00,-2.226318449563835e+01
 1.470000000000000e+00,-2.269133686834281e+01
 1.480000000000000e+00,-2.331754492333812e+01
 1.490000000000000e+00,-2.310424851332755e+01
 1.500000000000000e+00,-2.273874131377207e+01
 1.510000000000000e+00,-2.184727363779162e+01
 1.520000000000000e+00,-2.075211406276330e+01
 1.530000000000000e+00,-1.977281720915637e+01
 1.540000000000000e+00,-1.915715633984336e+01
 1.550000000000000e+00,-1.890865318890040e+01
 1.560000000000000e+00,-1.889091002991751e+01
 1.570000000000000e+00,-1.897419773505175e+01
 1.580000000000000e+00,-1.891155993891081e+01
 1.590000000000000e+00,-1.935286336891465e+01
 1.600000000000000e+00,-1.915161922636085e+01
 1.610000000000000e+00,-1.914181582109937e+01
 1.620000000000000e+00,-1.901706926024906e+01
 1.630000000000000e+00,-1.940642960862173e+01
 1.640000000000000e+00,-1.959964035690647e+01
 1.650000000000000e+00,-1.997546828033240e+01
 1.660000000000000e+00,-2.041809034854456e+01
 1.670000000000000e+00,-2.091695937052126e+01
 1.680000000000000e+00,-2.141630187509763e+01
 1.690000000000000e+00,-2.181836342217855e+01
 1.700000000000000e+00,-2.203558322755012e+01
 1.710000000000000e+00,-2.207166809577443e+01
 1.720000000000000e+00,-2.190672387504558e+01
 1.730000000000000e+00,-2.146349394143737e+01
 1.740000000000000e+00,-2.063217610664750e+01
 1.750000000000000e+00,-1.925086343404971e+01
 1.760000000000000e+00,-1.723012446377389e+01
 1.770000000000000e+00,-1.485000892551144e+01
 1.780000000000000e+00,-1.288613503080228e+01
 1.790000000000000e+00,-1.169911392437757e+01
 1.800000000000000e+00,-1.127388143122315e+01
