Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.JointMomentMeasure.HipFlexion
 1.530000000000000e+00,-1.783250060158020e+01
 1.540000000000000e+00,-1.607429577223379e+01
 1.550000000000000e+00,-1.443357464752379e+01
 1.560000000000000e+00,-1.317449058746845e+01
 1.570000000000000e+00,-1.233872216606554e+01
 1.580000000000000e+00,-1.186054778647924e+01
 1.590000000000000e+00,-1.135426716757239e+01
 1.600000000000000e+00,-1.053271110791778e+01
 1.610000000000000e+00,-9.664277024469508e+00
 1.620000000000000e+00,-8.784632349829700e+00
 1.630000000000000e+00,-8.071640955921415e+00
 1.640000000000000e+00,-7.492702209275554e+00
 1.650000000000000e+00,-7.465861718495579e+00
 1.660000000000000e+00,-7.707185049827400e+00
 1.670000000000000e+00,-7.928278895477237e+00
 1.680000000000000e+00,-8.237896483691539e+00
 1.690000000000000e+00,-8.912435419956202e+00
 1.700000000000000e+00,-9.483565201860095e+00
 1.710000000000000e+00,-9.837316439473872e+00
 1.720000000000000e+00,-9.953170639743792e+00
 1.730000000000000e+00,-9.954690368005386e+00
 1.740000000000000e+00,-1.004834954327942e+01
 1.750000000000000e+00,-1.038240006607883e+01
 1.760000000000000e+00,-1.108432862212980e+01
 1.770000000000000e+00,-1.230608590499123e+01
 1.780000000000000e+00,-1.480120741885371e+01
 1.790000000000000e+00,-1.813335095650018e+01
 1.800000000000000e+00,-2.083764135134203e+01
 1.810000000000000e+00,-2.288698093030951e+01
 1.820000000000000e+00,-2.420902029528683e+01
 1.830000000000000e+00,-2.483093365138951e+01
 1.840000000000000e+00,-2.481914184479655e+01
 1.850000000000000e+00,-2.434164742585247e+01
 1.860000000000000e+00,-2.329508973889085e+01
 1.870000000000000e+00,-2.222885008672447e+01
 1.880000000000000e+00,-2.087943361186214e+01
 1.890000000000000e+00,-1.914762466817670e+01
 1.900000000000000e+00,-1.731934844826220e+01
 1.910000000000000e+00,-1.614546477697877e+01
 1.920000000000000e+00,-1.568836645211358e+01
 1.930000000000000e+00,-1.522802749670435e+01
 1.940000000000000e+00,-1.468803674431025e+01
 1.950000000000000e+00,-1.378838950622973e+01
 1.960000000000000e+00,-1.371489224321825e+01
 1.970000000000000e+00,-1.488239666311864e+01
 1.980000000000000e+00,-1.831134537689676e+01
 1.990000000000000e+00,-2.235133977829965e+01
 2.000000000000000e+00,-2.503272536245724e+01
 2.010000000000000e+00,-2.414475963615198e+01
 2.020000000000000e+00,-1.196354588107135e+01
 2.030000000000000e+00, 6.787193600784674e+00
 2.040000000000000e+00, 5.751159207118802e+00
 2.050000000000000e+00, 4.362221247411642e+00
 2.060000000000000e+00, 2.935077424809927e+00
 2.070000000000000e+00, 1.579840864629128e+00
 2.080000000000000e+00, 2.726877145005766e-01
 2.090000000000000e+00,-8.799178259256246e+00
 2.100000000000000e+00,-2.292138170050852e+01
 2.110000000000000e+00,-2.572200835896613e+01
 2.120000000000000e+00,-2.607857902770592e+01
 2.130000000000000e+00,-2.503713337128016e+01
 2.140000000000000e+00,-2.279342102386769e+01
 2.150000000000000e+00,-1.887709824630629e+01
 2.160000000000000e+00,-1.352018099363946e+01
 2.170000000000000e+00,-7.675209266647338e+00
 2.180000000000000e+00,-2.878358865669651e+00
 2.190000000000000e+00,-3.126330671130983e+00
 2.200000000000000e+00,-3.517761790256619e+00
 2.210000000000000e+00,-7.402161033074806e+00
 2.220000000000000e+00,-1.389933544923059e+01
 2.230000000000000e+00,-2.170376953192758e+01
 2.240000000000000e+00,-2.448591337626043e+01
 2.250000000000000e+00,-3.063478888019090e+01
 2.260000000000000e+00,-8.275753847819961e+01
