Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 2.326006406547755e-01
 1.040000000000000e+00, 2.329168074372099e-01
 1.050000000000000e+00, 2.332350000582376e-01
 1.060000000000000e+00, 2.335673820905066e-01
 1.070000000000000e+00, 2.339323583822191e-01
 1.080000000000000e+00, 2.343531165308892e-01
 1.090000000000000e+00, 2.348547335875542e-01
 1.100000000000000e+00, 2.354601223973270e-01
 1.110000000000000e+00, 2.361852876972303e-01
 1.120000000000000e+00, 2.370339256575054e-01
 1.130000000000000e+00, 2.379920270177968e-01
 1.140000000000000e+00, 2.390246424410113e-01
 1.150000000000000e+00, 2.400774001674128e-01
 1.160000000000000e+00, 2.410834696059571e-01
 1.170000000000000e+00, 2.419739489674987e-01
 1.180000000000000e+00, 2.426884845025834e-01
 1.190000000000000e+00, 2.431836782899778e-01
 1.200000000000000e+00, 2.434382830449030e-01
 1.210000000000000e+00, 2.434548964061033e-01
 1.220000000000000e+00, 2.432579833715978e-01
 1.230000000000000e+00, 2.428878032176326e-01
 1.240000000000000e+00, 2.423936033293521e-01
 1.250000000000000e+00, 2.418356464970019e-01
 1.260000000000000e+00, 2.412630319499613e-01
 1.270000000000000e+00, 2.407171228583812e-01
 1.280000000000000e+00, 2.402291882216874e-01
 1.290000000000000e+00, 2.398199078163565e-01
 1.300000000000000e+00, 2.395004875710784e-01
 1.310000000000000e+00, 2.392670986506267e-01
 1.320000000000000e+00, 2.391172624730854e-01
 1.330000000000000e+00, 2.390437505523350e-01
 1.340000000000000e+00, 2.390366198382833e-01
 1.350000000000000e+00, 2.390858221171027e-01
 1.360000000000000e+00, 2.391831793169847e-01
 1.370000000000000e+00, 2.393228941619942e-01
 1.380000000000000e+00, 2.394954237783731e-01
 1.390000000000000e+00, 2.397012294302178e-01
 1.400000000000000e+00, 2.399410221655155e-01
 1.410000000000000e+00, 2.402112322915137e-01
 1.420000000000000e+00, 2.405059352793487e-01
 1.430000000000000e+00, 2.408160650495568e-01
 1.440000000000000e+00, 2.411322816551462e-01
 1.450000000000000e+00, 2.414502127826511e-01
 1.460000000000000e+00, 2.417727739971135e-01
 1.470000000000000e+00, 2.421087777394219e-01
 1.480000000000000e+00, 2.424736764134058e-01
 1.490000000000000e+00, 2.428712716970148e-01
 1.500000000000000e+00, 2.433008755499224e-01
 1.510000000000000e+00, 2.437530682103060e-01
 1.520000000000000e+00, 2.442077890290890e-01
 1.530000000000000e+00, 2.446400692342199e-01
 1.540000000000000e+00, 2.450290600341949e-01
 1.550000000000000e+00, 2.453637838252752e-01
 1.560000000000000e+00, 2.456424873944426e-01
 1.570000000000000e+00, 2.458694429493397e-01
 1.580000000000000e+00, 2.460535623013587e-01
 1.590000000000000e+00, 2.462072719210206e-01
 1.600000000000000e+00, 2.463411372445866e-01
 1.610000000000000e+00, 2.464726808555707e-01
 1.620000000000000e+00, 2.466197765199605e-01
 1.630000000000000e+00, 2.467995691896104e-01
 1.640000000000000e+00, 2.470159967834349e-01
 1.650000000000000e+00, 2.472758063905860e-01
 1.660000000000000e+00, 2.475799309435551e-01
 1.670000000000000e+00, 2.479231909851256e-01
 1.680000000000000e+00, 2.482956695349313e-01
 1.690000000000000e+00, 2.486835721472262e-01
 1.700000000000000e+00, 2.490706391178178e-01
 1.710000000000000e+00, 2.494400066225219e-01
 1.720000000000000e+00, 2.497762956094073e-01
 1.730000000000000e+00, 2.500681559382643e-01
 1.740000000000000e+00, 2.503119447166507e-01
 1.750000000000000e+00, 2.505172034211071e-01
 1.760000000000000e+00, 2.507130281869748e-01
 1.770000000000000e+00, 2.509496825092606e-01
 1.780000000000000e+00, 2.512885570443858e-01
 1.790000000000000e+00, 2.517844367140946e-01
 1.800000000000000e+00, 2.524733013906926e-01
 1.810000000000000e+00, 2.533720567294523e-01
 1.820000000000000e+00, 2.544828857792959e-01
 1.830000000000000e+00, 2.557889882817883e-01
 1.840000000000000e+00, 2.572745198957636e-01
 1.850000000000000e+00, 2.589220735820549e-01
 1.860000000000000e+00, 2.607161718541905e-01
 1.870000000000000e+00, 2.626452655015036e-01
 1.880000000000000e+00, 2.647000974021171e-01
 1.890000000000000e+00, 2.668696340975927e-01
 1.900000000000000e+00, 2.691372440651540e-01
 1.910000000000000e+00, 2.714824277436788e-01
 1.920000000000000e+00, 2.738901505909379e-01
 1.930000000000000e+00, 2.763604739179897e-01
 1.940000000000000e+00, 2.789103118470732e-01
 1.950000000000000e+00, 2.815701542402467e-01
 1.960000000000000e+00, 2.843805768447740e-01
 1.970000000000000e+00, 2.873846061467591e-01
 1.980000000000000e+00, 2.906139747620587e-01
 1.990000000000000e+00, 2.940761460630448e-01
 2.000000000000000e+00, 2.977480733725111e-01
 2.010000000000000e+00, 3.015787530271208e-01
 2.020000000000000e+00, 3.055016056758240e-01
 2.030000000000000e+00, 3.094517161518957e-01
 2.040000000000000e+00, 3.133772532140707e-01
 2.050000000000000e+00, 3.172401471419377e-01
 2.060000000000000e+00, 3.210107518243608e-01
 2.070000000000000e+00, 3.246610752734559e-01
 2.080000000000000e+00, 3.281602813227800e-01
 2.090000000000000e+00, 3.314800703429748e-01
 2.100000000000000e+00, 3.345804974540877e-01
 2.110000000000000e+00, 3.374220402532986e-01
 2.120000000000000e+00, 3.399710825080448e-01
 2.130000000000000e+00, 3.422075591985365e-01
 2.140000000000000e+00, 3.441298311801083e-01
 2.150000000000000e+00, 3.457555365009037e-01
 2.160000000000000e+00, 3.471013256290406e-01
 2.170000000000000e+00, 3.482030223727776e-01
 2.180000000000000e+00, 3.491001610751143e-01
 2.190000000000000e+00, 3.498576954257632e-01
 2.200000000000000e+00, 3.504530460554240e-01
